,Unnamed: 0,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
1323,61575,[C@H](C(N[C@H](C(=O)N)CC=1C=CC=CC1)O)(C(C(O)=NO)=O)CC2=CC=3C=C(F)C=CC3C=C2,5.16083717346191,CHEMBL110546,chembl20,453.47,6,5,2.057,False
1325,61579,FC(F)(F)C1=NC(N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=C4C(=N1)C=CC=C4,5.16083717346191,1179439,pubchem,399.376,5,0,4.0032,True
1326,61783,FC(F)(F)C=1N(C=2C(N1)=CC=CC2)CC(=O)N=NC=3C4=C(N(C3O)CCCC)C=CC=C4,5.16093015670776,CHEMBL1392068,chembl20,443.429,6,1,5.826,False
1328,61787,FC(F)(F)C=1N(C=2C(N1)=CC=CC2)CC(=O)N=NC=3C4=C(N(CCCC)C3O)C=CC=C4,5.16093015670776,6063507,pubchem,443.429,6,1,5.826,False
1329,61996,C1(C2(CCN(CC2)C=3SC(C(C(F)(F)F)(C(F)(F)F)O)=CN3)O)=CC=CC=C1,5.16107368469238,CHEMBL1257792,chembl20,426.382,5,2,3.9433,True
1331,62000,O(C1=C(O)C=C(C=C1)/C(/N)=N/O)C,5.16129207611084,9600740,pubchem,182.179,4,3,0.4953,True
1332,62211,O(C1=C(O)C=C(C(=NO)N)C=C1)C,5.16129207611084,CHEMBL1506999,chembl20,182.179,4,3,0.4953,True
1334,62217,OC1=C(CCC)C(O)=NC=2C1=CC=CC2,5.16132926940918,54680429,pubchem,203.241,3,2,2.5985,True
1335,62431,OC=1C=2C(N=C(O)C1CCC)=CC=CC2,5.16132926940918,CHEMBL1420614,chembl20,203.241,3,2,2.5985,True
1337,62438,O(C=1C=C(C=C(OC)C1O)C=NN2C=NN=C2)C,5.16152667999268,5343207,pubchem_screening,248.242,7,1,0.8831,True
